SequentialCutOff,Length,Size,Time
12800,500000,5,94.480181
25600,500000,5,87.744859
51200,500000,5,107.475894
102400,500000,5,102.616032
204800,500000,5,92.050949
409600,500000,5,121.164407
819200,500000,5,172.190405
50,600000,5,113.390586
100,600000,5,107.080276
200,600000,5,101.321405
400,600000,5,107.286015
800,600000,5,115.277241
1600,600000,5,114.646957
3200,600000,5,109.319629
6400,600000,5,107.194575
12800,600000,5,115.672394
25600,600000,5,105.973195
51200,600000,5,121.285706
102400,600000,5,121.796559
204800,600000,5,144.55352
409600,600000,5,175.266716
819200,600000,5,242.378268
50,700000,5,124.48145
100,700000,5,122.804734
200,700000,5,140.646781
400,700000,5,127.198532
800,700000,5,122.657776
1600,700000,5,125.660376
3200,700000,5,132.061194
6400,700000,5,125.860985
12800,700000,5,130.70172
25600,700000,5,131.916569
51200,700000,5,136.641605
102400,700000,5,141.037735
204800,700000,5,126.455813
409600,700000,5,167.735958
819200,700000,5,243.284739
50,800000,5,152.506023
100,800000,5,149.510421
200,800000,5,155.213774
400,800000,5,147.558918
800,800000,5,136.545032
1600,800000,5,146.994415
3200,800000,5,153.7414
6400,800000,5,142.862341
12800,800000,5,144.913216
25600,800000,5,154.722517
51200,800000,5,158.164589
102400,800000,5,146.482163
204800,800000,5,142.708852
409600,800000,5,198.527998
819200,800000,5,288.061075
50,900000,5,168.035938
100,900000,5,153.987729
200,900000,5,167.986952
400,900000,5,163.463925
800,900000,5,159.268403
1600,900000,5,179.069884
3200,900000,5,172.448397
6400,900000,5,166.616281
12800,900000,5,159.199823
25600,900000,5,162.042402
51200,900000,5,173.588134
102400,900000,5,165.197558
204800,900000,5,173.98282
409600,900000,5,161.033293
819200,900000,5,213.491544
50,1000000,5,190.484988
100,1000000,5,177.482743
200,1000000,5,183.534129
400,1000000,5,184.548836
800,1000000,5,177.958606
1600,1000000,5,192.779392
3200,1000000,5,188.264763
6400,1000000,5,187.602754
12800,1000000,5,181.250922
25600,1000000,5,182.528752
51200,1000000,5,182.091146
102400,1000000,5,200.009704
204800,1000000,5,207.810118
409600,1000000,5,180.419561
819200,1000000,5,239.093417
50,100000,7,26.451427
100,100000,7,23.956882
200,100000,7,25.438587
400,100000,7,23.718017
800,100000,7,24.724326
1600,100000,7,27.088244
3200,100000,7,24.400553
6400,100000,7,26.74441
12800,100000,7,32.088999
25600,100000,7,27.9322
51200,100000,7,36.104907
102400,100000,7,52.578149
204800,100000,7,53.409975
409600,100000,7,55.01018
819200,100000,7,55.296164
50,200000,7,57.423549
100,200000,7,51.077315
200,200000,7,52.189062
400,200000,7,49.952974
800,200000,7,53.745412
1600,200000,7,50.604252
3200,200000,7,51.008735
6400,200000,7,50.674699
12800,200000,7,56.15085
25600,200000,7,58.411197
51200,200000,7,49.783623
102400,200000,7,70.005915
204800,200000,7,112.051173
409600,200000,7,110.090806
819200,200000,7,110.028757
50,300000,7,82.95451
100,300000,7,80.900369
200,300000,7,77.644443
400,300000,7,80.599923
800,300000,7,72.283058
1600,300000,7,79.423795
3200,300000,7,80.127326
6400,300000,7,74.342796
12800,300000,7,78.100245
25600,300000,7,82.762298
51200,300000,7,85.498975
102400,300000,7,82.24818
204800,300000,7,105.516927
409600,300000,7,167.038959
819200,300000,7,169.325432
50,400000,7,109.103624
100,400000,7,104.385587
200,400000,7,105.23934
400,400000,7,103.677392
800,400000,7,104.937494
1600,400000,7,106.465852
3200,400000,7,106.977638
6400,400000,7,104.376256
12800,400000,7,109.109689
25600,400000,7,117.150367
51200,400000,7,104.129461
102400,400000,7,98.595459
204800,400000,7,149.87385
409600,400000,7,224.246504
819200,400000,7,220.730254
50,500000,7,135.224747
100,500000,7,131.584398
200,500000,7,131.918902
400,500000,7,138.041667
800,500000,7,141.101183
1600,500000,7,135.415092
3200,500000,7,132.354642
6400,500000,7,134.942028
12800,500000,7,133.439796
25600,500000,7,129.959468
51200,500000,7,126.093318
102400,500000,7,163.883337
204800,500000,7,133.023649
409600,500000,7,181.046114
819200,500000,7,278.897455
50,600000,7,173.285822
100,600000,7,156.018075
200,600000,7,158.910107
400,600000,7,156.744466
800,600000,7,160.2024
1600,600000,7,172.385415
3200,600000,7,164.715163
6400,600000,7,158.847125
12800,600000,7,161.053355
25600,600000,7,161.625322
51200,600000,7,176.916373
102400,600000,7,183.919017
204800,600000,7,158.11327
409600,600000,7,217.175747
819200,600000,7,335.298832
50,700000,7,197.231972
100,700000,7,184.769505
200,700000,7,195.019212
400,700000,7,190.138822
800,700000,7,191.503427
1600,700000,7,191.825334
3200,700000,7,188.476568
6400,700000,7,184.288978
12800,700000,7,190.714521
25600,700000,7,192.203692
51200,700000,7,193.0971
102400,700000,7,216.110653
204800,700000,7,194.048359
409600,700000,7,251.551685
819200,700000,7,392.155545
50,800000,7,216.691953
100,800000,7,204.897092
200,800000,7,235.600025
400,800000,7,222.787659
800,800000,7,210.846308
1600,800000,7,210.100323
3200,800000,7,207.887562
6400,800000,7,215.05116
12800,800000,7,203.113075
25600,800000,7,213.947811
51200,800000,7,219.482746
102400,800000,7,238.531246
204800,800000,7,226.304377
409600,800000,7,294.613049
819200,800000,7,459.201316
50,900000,7,247.471397
100,900000,7,367.55485
200,900000,7,375.561471
400,900000,7,255.848444
800,900000,7,318.183642
1600,900000,7,267.452959
3200,900000,7,287.769026
6400,900000,7,241.820763
12800,900000,7,250.159087
25600,900000,7,246.125452
51200,900000,7,237.916823
102400,900000,7,257.365606
204800,900000,7,243.727478
409600,900000,7,290.290631
819200,900000,7,338.241249
50,1000000,7,274.389823
100,1000000,7,337.749991
200,1000000,7,293.334285
400,1000000,7,259.780842
800,1000000,7,281.245977
1600,1000000,7,279.508611
3200,1000000,7,271.764181
6400,1000000,7,286.354967
12800,1000000,7,277.861754
25600,1000000,7,278.095952
51200,1000000,7,278.415994
102400,1000000,7,265.430077
204800,1000000,7,301.152427
409600,1000000,7,301.225672
819200,1000000,7,367.231544
50,100000,9,35.2031
100,100000,9,35.96448
200,100000,9,37.76296
400,100000,9,36.279389
800,100000,9,33.388291
1600,100000,9,43.878261
3200,100000,9,53.789732
6400,100000,9,41.263817
12800,100000,9,43.962704
25600,100000,9,42.362499
51200,100000,9,48.788044
102400,100000,9,73.566488
204800,100000,9,79.243248
409600,100000,9,79.987366
819200,100000,9,80.663838
50,200000,9,115.138215
100,200000,9,103.411468
200,200000,9,84.370434
400,200000,9,89.028755
800,200000,9,90.850095
1600,200000,9,68.469626
3200,200000,9,68.547537
6400,200000,9,68.082871
12800,200000,9,70.079161
25600,200000,9,69.774516
51200,200000,9,69.667213
102400,200000,9,101.429174
204800,200000,9,155.761483
409600,200000,9,170.111538
819200,200000,9,159.516131
50,300000,9,106.67206
100,300000,9,117.492801
200,300000,9,106.054838
400,300000,9,108.13837
800,300000,9,105.286927
1600,300000,9,107.503886
3200,300000,9,106.458854
6400,300000,9,107.904171
12800,300000,9,113.951358
25600,300000,9,113.714359
51200,300000,9,127.140215
102400,300000,9,110.15892
204800,300000,9,156.093653
409600,300000,9,293.148605
819200,300000,9,261.749607
50,400000,9,341.278838
100,400000,9,231.922354
200,400000,9,148.840948
400,400000,9,146.791473
